Position,Player,SofaScore Rating
Attackers,Lamine Yamal,7.98
Attackers,Robert Lewandowski,6.81
Attackers,Raphinha,7.33
Attackers,Marcus Rashford,6.78
Attackers,Ferran Torres,6.81
Attackers,Roony Bardghji,6.74
Midfielders,Pedri,7.6
Midfielders,Dani Olmo,7.15
Midfielders,Gavi,7.05
Midfielders,Marc Casadó,6.73
Midfielders,Frenkie de Jong,7.41
Midfielders,Fermín López,7.09
Midfielders,Marc Bernal,6.94
Defenders,Jules Koundé,6.9
Defenders,Ronald Araújo,6.87
Defenders,Pau Cubarsí,7.1
Defenders,Alejandro Balde,6.75
Defenders,Andreas Christensen,6.78
Defenders,Gerard Martin,7.04
Defenders,Eric García,7.1
Goalkeepers,Joan García,7.44
Goalkeepers,Wojciech Szczęsny,7.17
